1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Aquatic,Salt Water,Very Common,Solitary (1-2),Small (5-25cm),Stem / Trunk,Random,Tap,Waxy,Brown,N/A,Smooth,Gold,N/A,Smooth,Orange,N/A,Compound,Random Interval,Flabellate (Fan Shaped),Serrulate,Sticky,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Smooth,Orange,N/A,Suckers,Grain,Wind,Compound,Disc,Avg. (1-5cm),Oval,Velvety,Stem / Trunk,Foul,Annual (Once),Other,Yellow,Blushed,1-3,2-4,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Fomentation,Purgative,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Very Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Random,Tap,Smooth,Green,N/A,Scaly,Black,N/A,Scaly,Green,N/A,Needles,Branch Points,Obcordate (Heart Stem at Point),Serate,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Scaly,Red,N/A,Suckers,Fruit,Animal,Pairs,Sphere,Large (5-10cm),Curly,Smooth,Terminal,Musky,Annual (Once),Smooth,Blue,Phases,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Infusion,Soporific,Medicinal / Other,Vapor / Smoke,Pectoral,Medicinal / Other,Grated,Stomachic,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,
Algae,Aquatic,Brackish,Rare,Solitary (1-2),Average (25cm-1m),Colonial Mass,Radial,Tubers,Smooth,Brown,N/A,Smooth,Brown,N/A,Scaly,Brown,N/A,None,Terminal,Cordate (Heart Stem in Cleft),Lobate,Hairy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Green,N/A,Budding / Fragmentation,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Fungus,Avian,Hills / Scrub,Common,Solitary (1-2),Small (5-25cm),Stem / Trunk,None,Rhizoid,Smooth,Black,N/A,Smooth,Yellow,N/A,Smooth,Green,N/A,None,Terminal,Acicular (Needle),Serrulate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Red,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,None,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Edible,Roasted,N/A,
Woody,Terrestrial,Forest / Jungle,Very Common,Medium Patch (12-120),Huge (>10m),Stem / Trunk,Radial,Fibrous,Smooth,Brown,N/A,Smooth,Orange,N/A,Waxy,Green,N/A,Blades,Random Interval,Cuneate (Wedge Accute Base),Smooth,Smooth,None,Clusters (6+),Smooth,Green,N/A,Suckers,Nut,Animal,Single,Bell,Avg. (1-5cm),Feathery,Hairy,Stem / Trunk,None,Perennial (Yearly),Smooth,Yellow,Iridescent,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,Medicinal / Other,Vapor / Smoke,Anticoagulant,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Radial,Tubers,Smooth,Red,N/A,Smooth,Green,N/A,Smooth,Yellow,N/A,Compound,Regular Interval,Deltoid (Triangular),Dentate,Hairy,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Green,N/A,Seeds,Grain,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Predaceous,Light,Non-Sentient,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Steeped,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Very Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,Radial,Tubers,Smooth,Green,N/A,Waxy,Gold,N/A,Smooth,Green,N/A,Needles,Branch Points,Spatulate (Spoon),Serate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Smooth,Green,N/A,Seeds,Grain,Gravity,Spray,Bell,Huge (>10cm),Toothed,Veined,Random Interval,Sweet,Other,Waxy,Black,Phases & Luminescent,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Juice,Restorative,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Poultice,Vulnerary,Nutritious / Tasty,Boiled,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Rare,Small Patch (1-12),Large (1-10m),Creeper Vine,Radial,Fibrous,Smooth,Brown,N/A,Smooth,Yellow,N/A,Smooth,Green,N/A,Broad,Branch Points,Lobed (Deeply Indented Margins),Serate,Error: Roll Out of Range,Parallel (Veins Arranged Axially Not Intersecting),Pairs (2),Smooth,Blue,N/A,Seeds,Spore,Animal,Pairs,Sphere,Large (5-10cm),Round,Sticky,Random Interval,Foul,Perennial (Yearly),Smooth,Violet,Translucent,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Grated,Antispasmodic,Medicinal / Other,Rubbed,Alterative,N/A,N/A,N/A,Edible,Roasted,N/A,Medicinal / Other,Ointment,Pectoral,Medicinal / Other,Juice,Laxative,
Woody,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Tap,Smooth,Grey,N/A,Scaly,Orange,N/A,Flaky,Green,N/A,Broad,Branch Points,Spear-Shaped (Pointed Barbbed-Base),Smooth,Hairy,Cross-Venulate (Small Veins Connecting Secondary Veins),Pairs (2),Rough,Green,N/A,Seeds,Fruit,Animal,Spray,Bell,Tiny (<5mm),Oval,Velvety,Random Interval,Sweet,Annual (Once),Rough,Blue,Stripes,4-9,2-4,Other,Gravity,Sentient,Instinctual,Edible,Boiled,N/A,Medicinal / Other,Wash,Fungicide,Edible,Raw,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Ground,N/A,
Woody,Terrestrial,Forest / Jungle,Uncommon,Medium Patch (12-120),Huge (>10m),Multiple Stems / Trunks,Radial,Tap,Rough,Green,N/A,Rough,Copper,N/A,Scaly,Brown,N/A,Compound,Stem / Trunk,Deltoid (Triangular),Spiny,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Flaky,White,N/A,Seeds,Spore,Animal,Other,Spike,Small (5-10mm),Oval,Veined,Terminal,Sweet,Poly-Annual (2-7 Years),Flaky,Yellow,Solid,0,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Raw,N/A,
Herbaceous,Aquatic,Fresh Water,Rare,Large Patch (120+),Average (25cm-1m),Stem / Trunk,Random,Tap,Smooth,Green,N/A,Scaly,Blue,N/A,Waxy,Grey & Brown,Mottled,Needles,Terminal,Linear (Parallel Margins & Elongate),Serate,Waxy,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Smooth,Green,N/A,Seeds,Grain,Wind,Spray,Funnel,Tiny (<5mm),Curly,Sticky,Terminal,Sweet,Annual (Once),Smooth,Copper,Solid,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Cold Compress,Vesicant,Medicinal / Other,Cold Extract,Emollient,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Other,Galactagogue,Medicinal / Other,Wash,Cathartic,
Herbaceous,Terrestrial,Forest / Jungle,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Ordered,Tap,Smooth,Brown,N/A,Waxy,Green,N/A,Waxy,Green,N/A,Compound,Random Interval,Palmate (Hand-Like),Lobate,Hairy,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Smooth,Grey,N/A,Seeds,Nut,Water,Single,Bell,Avg. (1-5cm),Wavy,Veined,Stem / Trunk,Sweet,Perennial (Yearly),Other,Orange,Translucent,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Edible,Steeped,N/A,
Woody,Sub-Terrestrial,Plains / Savannah,Uncommon,Solitary (1-2),Large (1-10m),Multiple Stems / Trunks,Radial,Tap,Flaky,Green & Gold,Solid,Rough,Green,N/A,Scaly & Smooth,Green,N/A,Needles,Terminal,Reniform (Kidney),Sinuate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Yellow,N/A,Seeds,Fruit,Animal,Single,Bell,Small (5-10mm),Curly,Veined,Random Interval,Foul,Other,Rough,Brown,Stripes,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Juice,Detergent,Edible,Steeped,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Roasted,N/A,
Herbaceous,Aquatic,Fresh Water,Very Common,Large Patch (120+),Average (25cm-1m),Creeper Vine,Random,Fibrous,Smooth,Black,N/A,Waxy,White,N/A,Scaly,Green,N/A,Compound,Random Interval,Elliptic (Oval Small or No Point),Denticulate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Rough,Grey,N/A,Seeds,Spore,Water,Pairs,Bell,Avg. (1-5cm),Toothed,Veined,Branch Points,Sweet,Poly-Annual (2-7 Years),Smooth,Yellow,Patches,0,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Bath,Vasodialator,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Edible,Ground,N/A,
Woody,Terrestrial,Hills / Scrub,Uncommon,Large Patch (120+),Average (25cm-1m),Stem / Trunk,Radial,Advantageous,Smooth,Blue,N/A,Smooth,Black,N/A,Smooth,Brown,N/A,Compound,Regular Interval,Ovate (Egg Wide at Base),Lobate,VelvetyDusty,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Smooth,Blue,N/A,Seeds,Fruit,Animal,Pairs,Bell,Tiny (<5mm),Wavy,Dusty,Terminal,Sweet,Perennial (Yearly),Smooth,Violet,Blushed,1-3,2-4,Other,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Infusion,Antispasmodic,Edible,Dried,N/A,Medicinal / Other,Syrup,Antifungal,Nutritious / Tasty,Blanched,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Smooth,Yellow,N/A,Smooth,Silver,N/A,Other,Green,N/A,Compound,Branch Points,Ovate (Egg Wide at Base),Ciliate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Smooth,Black,N/A,Seeds,Fruit,Animal,Single,Funnel,Small (5-10mm),Toothed,Scaly & Veined,Terminal,Foul,Annual (Once),Smooth,Green,Stripes,4-9,0,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Very Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Flaky,Green,N/A,Smooth,Yellow,N/A,Smooth,Green,N/A,Compound,Stem / Trunk,Linear (Parallel Margins & Elongate),Lobate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5),Waxy,Orange,N/A,Seeds,Grain,Wind,Pairs,Cone,Large (5-10cm),Blade,Sticky,Regular Interval,Sweet,Poly-Annual (2-7 Years),Waxy,Green,Iridescent,10+,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Decoction,Depressant,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Antiperodic,Edible,Blanched,N/A,
Woody,Terrestrial,Hills / Scrub,Uncommon,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Tap,Rough,Copper,N/A,Flaky,Blue,N/A,Rough,Yellow,N/A,Broad,Stem / Trunk,Elliptic (Oval Small or No Point),Smooth,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Rough,Silver,N/A,Seeds,Fruit,Animal,Pairs,Bell,Small (5-10mm),Curly,Smooth,Terminal,Other / Specific,Perennial (Yearly),Scaly,Copper & Green,Translucent,1-3,0,Symbiotic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Antispasmodic,Edible,Boiled,N/A,
Algae,Aquatic,Fresh Water,Common,Small Patch (1-12),Large (1-10m),Stem / Trunk,Ordered,None,Scaly,Green,N/A,Other,Green,N/A,Smooth,Brown,N/A,None,Terminal,Lobed (Deeply Indented Margins),Serate,Smooth,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5),Smooth,Brown,N/A,Budding / Fragmentation,Spore,Wind,Single,Cone,Avg. (1-5cm),Toothed,Sticky,Terminal,Sweet,Annual (Once),Smooth,Blue,Night Closing,1-3,1,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,N/A,N/A,N/A,Medicinal / Other,Juice,Demulcent,N/A,N/A,N/A,Edible,Roasted,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Very Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,None,Tubers,Waxy,Copper,N/A,Rough,Green,N/A,Smooth,Blue,N/A,Broad,Regular Interval,Pedate (Palmate Divided Latteral Lobes),Dentate,Scaly,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Waxy,Grey,N/A,Suckers,Fruit,Animal,Other,Disc,Tiny (<5mm),Wavy & Toothed,Dusty,Terminal,Other / Specific,Perennial (Yearly),Smooth,Green,Translucent,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Fomentation,Astringent,Medicinal / Other,Re-Roll,Pectoral,Edible,Roasted,N/A,N/A,N/A,N/A,Medicinal / Other,Juice,Depressant,Nutritious / Tasty,Roasted,N/A,
Fungus,Terrestrial,Marsh / Swamp / Bog,Rare,Small Patch (1-12),Small (5-25cm),Creeper Vine,None,Tubers,Flaky,White,N/A,Smooth,Green,N/A,Smooth,Green,N/A,Needles,Terminal,Ovate (Egg Wide at Base),Serate,Smooth,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Smooth,Brown,N/A,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Plains / Savannah,Common,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,None,Advantageous,Rough,Brown,N/A,Smooth,Yellow,N/A,Smooth,Brown,N/A,Needles,Terminal,Lanceolate (Pointed at Both Ends),Serate,VelvetyDusty,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Yellow,N/A,Seeds,Other,Animal,Pairs,Bell,Avg. (1-5cm),Oval,Veined,Regular Interval,Musky,Perennial (Yearly),Smooth,Grey,Mimicry,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Ground,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Hills / Scrub,Uncommon,Solitary (1-2),Huge (>10m),Creeper Vine,Radial,Tap,Flaky,Orange,N/A,Flaky,Green,N/A,Flaky,Orange,N/A,Broad,Random Interval,Spatulate (Spoon),Denticulate,VelvetyDusty,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Smooth,Brown,N/A,Suckers,Nut,Gravity,Single,Funnel,Small (5-10mm),Wavy,Velvety,Terminal,Musky,Annual (Once),Smooth,Green,Translucent,10+,2-4,Parasitic,Touch,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Grated,Refridgerant,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Very Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Smooth,Green,N/A,Smooth,Green,N/A,Smooth,Yellow,N/A,Blades,Regular Interval,Deltoid (Triangular),Sinuate,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Flaky,Blue,N/A,Other,Fruit,Animal,Pairs,Cone,Small (5-10mm),Blade,Waxy,Stem / Trunk,Sweet,Annual (Once),Smooth,Blue,Mimicry,4-9,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Bath,Dye,Edible,Blanched,N/A,Medicinal / Other,Powder,Nauseant,N/A,N/A,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Infusion,Purgative,
Woody,Sub-Terrestrial,Plains / Savannah,Uncommon,Small Patch (1-12),Large (1-10m),Stem / Trunk,Radial,Fibrous,Smooth,Green,N/A,Flaky,Gold,N/A,Scaly,Violet,N/A,Needles,Regular Interval,Poly-Foliate (2-7 Leaflets),Smooth,Sticky,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Rough,Grey,N/A,Seeds,Fruit,Water,Pairs,Bell,Avg. (1-5cm),Blade,Waxy,Regular Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Copper & Brown,Night Closing,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Fomentation,Cathartic,Nutritious / Tasty,Dried,N/A,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Vapor / Smoke,Nauseant,Edible,Blanched,N/A,Medicinal / Other,Ointment,Restorative,
Herbaceous,Aquatic,Salt Water,Rare,Small Patch (1-12),Tiny (<5cm),Stem / Trunk,Random,Tap,Smooth,Brown,N/A,Waxy,Green,N/A,Smooth,Green,N/A,Broad,Terminal,Hastatae (Triangular Basal Lobes),Serate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Smooth,Orange,N/A,Budding / Fragmentation,Fruit,Animal,Single,Cone,Small (5-10mm),Round & Wavy,Hairy,Random Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Green,Stripes,1-3,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Bath,Irritant,Nutritious / Tasty,Roasted,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,Medicinal / Other,Rubbed,Appetizer,Medicinal / Other,Fomentation,Re-Roll,
Herbaceous,Aquatic,Salt Water,Rare,Large Patch (120+),Average (25cm-1m),Stem / Trunk,None,Tap,Smooth,Grey,N/A,Waxy,Grey,N/A,Rough,Yellow,N/A,Broad,Branch Points,Lobed (Deeply Indented Margins),Sinuate,Error: Roll Out of Range,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Rough,Red & Green,Patches,Suckers,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Medicinal / Other,Cold Extract,Disinfectant,
Herbaceous,Terrestrial,Forest / Jungle,Common,Small Patch (1-12),Large (1-10m),Creeper Vine,Random,Fibrous,Waxy,White,N/A,Waxy,Blue,N/A,Waxy,Yellow,N/A,Broad,Branch Points,Obcordate (Heart Stem at Point),Dentate,Smooth & Hairy,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Waxy,Red,N/A,Seeds,Grain,Wind,Spray,Bell,Avg. (1-5cm),Blade,Sticky,Branch Points,Sweet,Annual (Once),Smooth,Silver,Spotted,10+,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Nutritious / Tasty,Boiled,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Infusion,Restorative,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Large Patch (120+),Small (5-25cm),Stem / Trunk,Radial,Rhizoid,Other,Yellow,N/A,Smooth,Grey,N/A,Waxy,Violet,N/A,Compound & Broad,Terminal,Reniform (Kidney),Crenate,VelvetyDusty,Pinnate (Secondary Veins Paired Oppositely),Singles (1) & Clusters (6+),Other,Gold,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Vapor / Smoke,Balsam,Medicinal / Other,Vapor / Smoke,Re-Roll,
Herbaceous,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Average (25cm-1m),Colonial Mass,Radial,Tap,Smooth,Green,N/A,Smooth,Orange,N/A,Smooth,White,N/A,Broad,Random Interval,Acuminate (Taper to Long Point) & Reniform (Kidney),Lobate,Smooth,None,Clusters (6+),Smooth,Green,N/A,Seeds,Grain,Water,Spray,Bell,Small (5-10mm),Round,Velvety,Stem / Trunk,None,Perennial (Yearly),Smooth,Black,Luminescent,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Roasted,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Depressant,Nutritious / Tasty,Raw,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Small (5-25cm),Multiple Stems / Trunks,Radial,Fibrous,Waxy,Yellow,N/A,Rough,Copper,N/A,Rough,Copper,N/A,Scales,Terminal,Digitate (Finger-Like Lobes),Serrulate,Sticky,Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5) & Pairs (2),Scaly,Yellow,N/A,Seeds,Nut,Gravity,Bunches,Spike,Avg. (1-5cm),Toothed & Feathery,Waxy,Branch Points,Foul,Poly-Annual (2-7 Years),Flaky,Brown,Stripes,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Powder,Acrid,Medicinal / Other,Tincture,Emetic,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,
Algae,Aquatic,Fresh Water,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Random,None,Other,Green,N/A,Smooth,Silver,N/A,Smooth,Green,N/A,None,Regular Interval,Linear (Parallel Margins & Elongate),Serate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Red,N/A,Budding / Fragmentation,Spore,Wind,Other,Funnel,Avg. (1-5cm),Blade,Hairy,Terminal,Musky,Other,Rough,Orange,Stripes,10+,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Plains / Savannah,Uncommon,Solitary (1-2),Tiny (<5cm),Colonial Mass,None,Rhizoid,Other,Red,N/A,Smooth,Black,N/A,Waxy,Red,N/A,Broad,Terminal,Deltoid (Triangular),Serate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Scaly,Green,N/A,Seeds,Spore,Animal,Compound,Funnel,Large (5-10cm),Wavy,Velvety,Regular Interval,None,Poly-Annual (2-7 Years),Flaky,Grey,Solid,4-9,1,Decay,Gravity,Non-Sentient,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Nutritious / Tasty,Steeped,N/A,
Woody,Terrestrial,Desert / Waste,Common,Small Patch (1-12),Small (5-25cm),Multiple Stems / Trunks,Radial,Fibrous,Waxy,Grey,N/A,Flaky & Flaky,Black,N/A,Rough,Silver,N/A,Broad,Branch Points,Spear-Shaped (Pointed Barbbed-Base),Smooth,Scaly,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Rough,Red,N/A,Seeds,Nut,Other,Single,Funnel,Avg. (1-5cm),Round,Smooth,Regular Interval,Musky,Perennial (Yearly),Smooth,Black,Stripes,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Non-Edible,N/A,N/A,
